Location,price_php_millions,Bedrooms,Bathrooms,Floor Area,Land Area,Town/Barangay,Municipality/City,Province/NCR
"Santa Clara Sur, Pila",1.38,,,78.1,110.0,Santa Clara Sur,Pila,Laguna
"Buho, Silang",8.5,3.0,3.0,120.0,108.0,Buho,Silang,Cavite
"San Juan, Taytay",4.7,4.0,4.0,120.0,60.0,San Juan,Taytay,Rizal
"Don Bosco, Paranaque",15.5,4.0,3.0,260.0,200.0,Don Bosco,Parañaque,Metro Manila
"Catalunan Pequeno, Davao",3.0,2.0,1.0,36.0,120.0,Talomo,Davao City,Davao del Sur
"Inchican, Silang",39.0,7.0,4.0,300.0,345.0,Inchican,Silang,Cavite
"Tambongon, San Remigio",3.5,,,30.0,915.0,Tambongon,San Remigio,Cebu
"Saranay Road Bagumbong Caloocan City Bagumbong, Caloocan",4.44,3.0,2.0,72.0,80.0,Barangay 171,Caloocan,Metro Manila
"Punta I, Tanza",1.69,3.0,1.0,45.0,36.0,Punta I,Tanza,Cavite
"De Castro Ave, Pasig, Philippines Rosario, Pasig",7.0,3.0,3.0,110.0,73.0,Rosario,Pasig,Metro Manila
Taytay,9.0,4.0,2.0,160.0,111.0,,Taytay,Rizal
"B.F. Homes, Paranaque",24.0,3.0,3.0,290.0,204.0,B. F. Homes,Parañaque,Metro Manila
"Barangay II, Alaminos",4.43,2.0,2.0,106.0,138.0,Barangay II,Alaminos,Laguna
"San Antonio Rd San Antonio, Binan",2.75,2.0,1.0,43.0,45.0,San Antonio,Biñan,Laguna
"Lot 5 Block 10 Torquise Street City Heights Subdivision Barangay Taculing Bacolod City Negros Occidental Taculing, Bacolod",7.0,3.0,4.0,226.0,240.0,Taculing,Bacolod,Negros Occidental
"Pasong Buaya II, Imus",3.4,2.0,1.0,80.0,57.5,Pasong Buaya II,Imus,Cavite
"C. Lawis Ext San Luis, Antipolo",4.0,3.0,2.0,80.0,48.0,San Luis,Antipolo,Rizal
"Teachers Village East, Quezon City",22.6,4.0,4.0,265.69,68.0,Diliman,Quezon City,Metro Manila
"Dila, Santa Rosa",3.7,,,200.0,372.0,Dila,City of Santa Rosa,Laguna
"Teachers Village East, Quezon City",16.0,3.0,3.0,175.0,67.0,Diliman,Quezon City,Metro Manila
"Santa Lucia, Pasig",8.53,3.0,2.0,132.0,90.0,Santa Lucia,Pasig,Metro Manila
"Biga I, Silang",7.49,3.0,2.0,66.0,121.0,Biga I,Silang,Cavite
"Alabang, Muntinlupa",32.44,5.0,6.0,237.0,,Alabang,Muntinlupa City,Metro Manila
"Kaunlaran Rd Palo-Alto, Calamba",4.5,3.0,2.0,54.0,96.0,Palo-Alto,Calamba,Laguna
"Lot 10 Block 21 Coolidge Street Cuesta Verde Executive Village Phase 2 Barangay Dalig Antipolo City Rizal Dalig, Antipolo",5.2,6.0,6.0,192.72,157.0,Dalig,Antipolo,Rizal
"Calicanto, Batangas City",4.31,,,185.37,346.0,Calicanto,Batangas City,Batangas
"Bugtong Na Pulo, Lipa",8.36,5.0,3.0,150.0,150.0,Bugtong na Pulo,Lipa City,Batangas
"Balsic, Hermosa",1.7,3.0,1.0,40.0,70.0,Balsic,Hermosa,Bataan
"Loma, Binan",2.0,,,115.0,63.0,Loma,Biñan,Laguna
"Bucandala III, Imus",3.7,3.0,,94.0,50.0,Bucandala III,Imus,Cavite
"Lot 14 Block 6, Road Lot 2, Ruby Drive, Camella Santiago City Batal, Santiago",3.0,1.0,1.0,90.0,119.0,Batal,City of Santiago,Isabela
"B.F. Homes, Paranaque",36.0,5.0,4.0,250.0,204.0,B. F. Homes,Parañaque,Metro Manila
"Buhangin, Davao",15.9,5.0,3.0,300.0,162.0,Buhangin,Davao City,Davao del Sur
"Block 13 Lot 3, Along Road Lot 14, Savannah Glen D Camella Abilay Norte, Oton",2.08,1.0,1.0,,,Abilay Norte,Oton,Iloilo
"Panungyanan, General Trias",4.5,4.0,2.0,81.0,100.0,Panungyanan,General Trias,Cavite
"Dungon, Iloilo",8.0,4.0,3.0,240.0,212.0,Dungon,Iloilo City,Iloilo
"Ana Ros Subdivision, Hibao-an Norte, Mandurriao Mandurriao, Iloilo",5.5,3.0,3.0,112.0,100.0,Hibao-an Norte,Iloilo City,Iloilo
"Lot 3 Block 3 PCS-04-002881 Diamond Street Palmera Hills 2 Barangay Dolores Taytay Dolores, Taytay",6.8,4.0,4.0,208.78,281.0,Dolores,Taytay,Rizal
"Lots 5, 6, 7 & 8 Jardin Leonila Subdivision Barangay Maahas Los Banos Laguna Maahas, Los Banos",6.64,9.0,5.0,438.0,480.0,Maahas,Los Baños,Laguna
"Lot 1 Blk 11, Road Lot 8 Corner Road Lot 2, Carmel Village Barandal, Calamba",1.86,1.0,1.0,48.0,159.0,Barandal,Calamba,Laguna
"The Regina Northview Subdivision, Cutcut I, Capas, Tarlac Cutcut 1st, Capas",2.18,2.0,1.0,36.0,100.0,Cutcut 1st,Capas,Tarlac
"BAGONG NAYON 1 Bagong Nayon, Antipolo",5.8,7.0,5.0,151.0,150.0,Bagong Nayon,Antipolo,Rizal
"Lawa, Calamba",2.4,4.0,2.0,62.22,60.0,Lawa,Calamba,Laguna
"Ibabang Iyam, Lucena",1.86,,,60.0,60.0,Ibabang Iyam,Lucena City,Quezon
"Farmington Street, Hillcrest Subdivision, Talomo District, Diversion Road Talomo, Davao",2.66,3.0,2.0,38.0,121.0,Talomo,Davao City,Davao del Sur
"Awai, San Jacinto",5.14,,,71.0,10000.0,Awai,San Jacinto,Pangasinan
"Santa Ana, Taytay",34.0,4.0,3.0,350.0,192.0,Santa Ana,Taytay,Rizal
"Pandan, Angeles",28.0,4.0,3.0,272.0,221.0,Pandan,Angeles,Pampanga
"Project 8, Quezon City",5.0,2.0,1.0,69.0,35.0,Project 8,Quezon City,Metro Manila
"Lot 20, Blk 5, Along Cherry St., Savannah Glen F Abilay Norte, Oton",1.4,1.0,1.0,46.0,91.0,Abilay Norte,Oton,Iloilo
"It-Ba, Manito",25.0,7.0,5.0,,573.0,It-Ba,Manito,Albay
"Salitran I, Dasmarinas",10.98,3.0,3.0,110.0,120.0,Salitran I,Dasmariñas,Cavite
"San Miguel, Pasig",15.5,5.0,3.0,180.0,120.0,San Miguel,Pasig,Metro Manila
"Maharlika West, Tagaytay",22.0,4.0,4.0,400.0,600.0,Maharlika West,Tagaytay City,Cavite
"Apo Street, Pulu Amsic Subdivision Amsic, Angeles",220.0,11.0,12.0,2200.0,1399.0,Amsic,Angeles,Pampanga
"Kaybagal North, Tagaytay",13.0,4.0,5.0,300.0,400.0,Kaybagal North,Tagaytay City,Cavite
"Tatala Rd Tatala, Binangonan",2.5,2.0,1.0,50.0,64.0,Tatala,Binangonan,Rizal
"Don Bosco, Paranaque",18.5,5.0,5.0,240.0,210.0,Don Bosco,Parañaque,Metro Manila
"Abilay Norte, Oton",2.34,,,60.0,144.0,Abilay Norte,Oton,Iloilo
"San Isidro, Batangas City",4.21,,,153.0,115.0,San Isidro,Batangas City,Batangas
"M Residences at Mahogany Place 3, Acacia Estates, Taguig City Bambang, Taguig",22.75,4.0,4.0,119.27,75.0,Bambang,Taguig,Metro Manila
"Bambang, Taguig",24.37,4.0,3.0,166.0,75.0,Bambang,Taguig,Metro Manila
"Lots 1 and 2 Block 25 Coolidge Street corner Buchanan Street Cuesta Verde Executive Village Phase 2 Barangay Dalig Antipolo City Rizal Dalig, Antipolo",8.0,6.0,7.0,239.0,269.0,Dalig,Antipolo,Rizal
"Greenhills, San Fernando, Central Visayas, Philippines Tonggo, San Fernando",1.5,1.0,1.0,,109.0,Greenhills,San Fernando,Cebu
"Bago Gallera, Davao",6.05,4.0,3.0,90.56,180.0,Talomo,Davao City,Davao del Sur
"Inchican, Silang",17.0,4.0,4.0,230.0,150.0,Inchican,Silang,Cavite
"Bagumbayan, Tanauan",2.5,3.0,2.0,66.0,100.0,Bagumbayan,Tanauan City,Batangas
"San Miguel, Pasig",16.5,4.0,3.0,182.0,127.0,San Miguel,Pasig,Metro Manila
"Acropolis Residences, Kauswagan Rd., Brgy. Talamban, Cebu City Philippines (across NorthGen Hospital) Talamban, Cebu",7.26,3.0,2.0,161.0,60.0,Talamban,Cebu City,Cebu
"Dalig, Antipolo",65.0,8.0,7.0,670.0,555.0,Dalig,Antipolo,Rizal
"New Manila, Quezon City",52.0,3.0,3.0,380.0,162.3,Mariana,Quezon City,Metro Manila
"Santo Domingo, Santa Rosa",13.0,4.0,3.0,230.0,150.0,Santo Domingo,City of Santa Rosa,Laguna
"Asisan, Tagaytay",16.0,5.0,2.0,180.0,540.0,Asisan,Tagaytay City,Cavite
"Pooc, Talisay",4.5,3.0,2.0,90.0,55.0,Pooc,Talisay,Cebu
"Western Bicutan, Taguig",45.0,4.0,3.0,370.0,200.0,Western Bicutan,Taguig,Metro Manila
Antipolo,78.0,5.0,5.0,822.0,556.0,,Antipolo,Rizal
"Lot 69 Block 2 Pueblo El Grande Subdivision Phase 3 Barangay Tayud Consolacion Cebu Tayud, Consolacion",5.5,2.0,4.0,112.0,120.0,Tayud,Consolacion,Cebu
